Unnamed: 0,Released Date,Movie,Worldwide,India Hindi Net,India Gross,Overseas,Budget,Verdict
110.0,2022-11-11,Yashoda,32.13,0.8,23.63,8.5,30,
111.0,2022-11-04,Phone Bhoot,17.62,12.81,15.12,2.5,25,
112.0,2022-11-04,Mili,3.82,2.82,3.32,0.5,10,
113.0,2022-10-25,Har Har Mahadev,8.65,0.07,11.51,0.0,1,
114.0,2022-10-25,Ram Setu,96.74,74.63,89.24,7.5,150,Below Average
115.0,2022-10-25,Thank God,48.99,36.35,42.49,6.5,70,Flop
116.0,2022-10-21,Ginna,0.24,0.019,0.42,0.01,1,
117.0,2022-10-20,Black Adam,2985.0,21.85,57.52,2927.48,1500,
118.0,2022-10-14,Code Name: Tiranga,1.07,0.74,0.87,0.2,1,
119.0,2022-10-14,Doctor G,44.01,27.98,33.01,11.0,25,
120.0,2022-10-07,Goodbye,10.55,6.82,8.05,2.5,25,Flop
121.0,2022-10-05,Godfather,107.0,8.46,87.0,20.0,100,Average
122.0,2022-09-30,Kantara,407.82,84.77,363.82,44.0,16,Blockbuster
123.0,2022-09-30,Vikram Vedha,135.44,78.9,93.1,42.34,150,Below Average
124.0,2022-09-30,Ponniyin Selvan - Part 1,488.36,22.91,313.36,175.0,250,Hit
125.0,2022-09-23,Dhokha: Round D Corner,4.4,3.25,3.7,0.7,20,
126.0,2022-09-23,Chup,19.0,11.6,13.7,5.3,25,Flop
127.0,2022-09-23,Prem Geet 3,4.84,0.92,1.12,3.72,1,Disaster
128.0,2022-09-09,Brahmastra Part One: Shiva,431.0,247.37,315.5,115.5,350,Hit
129.0,2022-08-25,Liger,56.18,18.55,48.58,7.6,125,Flop
130.0,2022-08-19,Dobaaraa,1.1,4.79,5.65,0.15,1,
131.0,2022-08-13,Karthikeya 2,117.87,31.35,102.37,15.5,15,Blockbuster
132.0,2022-08-11,Raksha Bandhan,68.38,48.63,57.38,11.0,70,Below Average
133.0,2022-08-11,Laal Singh Chaddha,133.5,61.12,72.5,61.0,180,Disaster
134.0,2022-08-05,Sita Ramam,94.28,8.23,77.28,17.0,25,
135.0,2022-08-05,DC League of Super-Pets,,0.56,2.89,,1,
136.0,2022-08-04,Bullet Train,0.85,0.89,4.12,0.85,1,
137.0,2022-07-29,Ek Villain Returns,60.0,43.21,51.0,9.0,72,
138.0,2022-07-28,Vikrant Rona,100.35,11.13,94.75,5.6,95,
139.0,2022-07-22,Shamshera,60.75,39.94,47.75,13.0,150,Disaster
140.0,2022-07-15,HIT – The First Case,8.0,8.87,10.47,1.4,1,
141.0,2022-07-15,Shabaash Mithu,1.4,2.31,2.73,0.2,1,
142.0,2022-07-08,Khuda Haafiz Chapter II,15.4,12.86,13.2,2.2,1,
143.0,2022-07-07,Thor: Love And Thunder,6295.0,31.33,125.75,3455.0,1900,Hit
144.0,2022-07-01,Rocketry: The Nambi Effect,45.25,22.08,40.25,5.0,1,
145.0,2022-07-01,Rashtra Kavach: OM,4.8,8.25,9.74,1.0,1,
146.0,2022-06-24,JugJugg Jeeyo,139.5,85.41,101.2,38.3,100,Average
147.0,2022-06-17,Nikamma,0.8,2.19,2.58,0.2,1,
148.0,2022-06-10,Janhit Mein Jaari,5.5,3.75,4.4,1.1,1,
149.0,2022-06-10,Jurassic World: Dominion,8400.0,24.66,83.0,5200.0,1,
150.0,2022-06-10,777 Charlie,102.75,7.45,96.95,5.8,15,Hit
151.0,2022-06-03,Vikram,414.43,10.25,289.43,125.0,120,
152.0,2022-06-03,Major,58.2,12.96,45.2,13.0,30,
153.0,2022-06-03,Samrat Prithviraj,90.55,68.14,80.55,10.0,220,Disaster
154.0,2022-05-27,Top Gun: Maverick,12250.0,5.98,51.04,12199.0,1300,
155.0,2022-05-27,Anek,9.0,9.05,10.68,1.7,1,Disaster
156.0,2022-05-20,Bhool Bhulaiyaa 2,265.5,184.32,216.5,49.0,80,Blockbuster
157.0,2022-05-20,Dhaakad,,4.01,4.73,,1,Disaster
158.0,2022-05-13,Jayeshbhai Jordaar,17.5,17.91,21.13,3.45,1,Disaster
159.0,2022-05-06,Doctor Strange In The Multiverse Of Madness,8000.0,30.98,158.7,4500.0,1500,Average
160.0,2022-04-29,Heropanti 2,28.0,21.5,25.3,2.7,80,Disaster
161.0,2022-04-29,Runway 34,50.7,35.49,41.7,9.0,60,Flop
162.0,2022-04-22,Jersey,30.75,20.85,25.0,5.75,60,Disaster
163.0,2022-04-14,KGF Chapter 2,1215.0,435.33,1000.85,214.15,100,All Time Blockbuster
164.0,2022-04-13,Beast,216.58,1.32,151.58,65.0,150,
165.0,2022-04-08,Fantastic Beasts: The Secrets of Dumbledore,,2.45,11.79,,1,
166.0,2022-04-01,Attack - Part 1,22.0,17.35,18.8,3.2,55,Flop
167.0,2022-03-25,RRR,1230.0,272.78,915.85,314.15,550,SuperHit
168.0,2022-03-18,Bachchhan Paandey,74.2,51.04,60.2,14.0,165,Disaster
169.0,2022-03-11,Radhe Shyam,149.5,20.34,123.2,26.3,350,
170.0,2022-03-11,The Kashmir Files,341.0,252.25,295.0,46.0,20,All Time Blockbuster
171.0,2022-03-10,Etharkkum Thunindhavan,71.4,0.03,57.4,14.0,60,
172.0,2022-03-04,The Batman,1900.0,2.93,43.09,900.0,1,
173.0,2022-03-04,Jhund,23.0,14.7,17.3,5.7,1,Average
174.0,2022-02-25,Gangubai Kathiawadi,211.5,131.9,155.5,56.0,180,Hit
175.0,2022-02-24,Valimai,164.5,1.78,123.5,41.0,150,
176.0,2022-02-18,Uncharted,1100.0,2.4,10.8,670.0,900,
177.0,2022-02-11,Khiladi,23.5,1.6,21.7,1.8,40,
178.0,2022-02-11,Badhaai Do,28.15,21.29,25.15,3.0,30,Disaster
179.0,2021-12-24,83,193.0,104.13,129.0,64.0,220,Disaster
180.0,2021-12-17,Pushpa: The Rise (Part 1),350.1,106.35,313.8,36.3,150,Blockbuster
181.0,2021-12-16,Spider-Man: No Way Home,15700.0,49.76,271.0,9010.0,1500,
182.0,2021-12-10,Velle,,1.13,,,1,
183.0,2021-12-10,Chandigarh Kare Aashiqui,30.2,22.4,24.7,5.5,40,
184.0,2021-12-03,Tadap,33.0,26.81,30.9,2.1,20,
185.0,2021-12-02,Marakkar: Lion of the Arabian Sea,45.4,0.006,22.4,23.0,100,
186.0,2021-11-26,Antim: The Final Truth,58.5,39.57,46.8,11.7,35,
187.0,2021-11-25,Satyameva Jayate 2,15.0,14.16,12.4,2.6,60,
188.0,2021-11-19,Shubh Raatri,0.0001,0.0001,0.0001,0.0,1,
189.0,2021-11-19,Bunty Aur Babli 2,20.5,11.9,14.0,6.5,30,
190.0,2021-11-12,Kurup,78.0,0.2,43.9,34.1,35,
191.0,2021-11-12,Nirbhaya,0.05,0.04,0.05,0.0,1,
192.0,2021-11-05,Eternals,1300.0,7.77,32.6,670.0,1500,
193.0,2021-11-05,Sooryavanshi,293.0,195.55,230.8,62.2,180,SuperHit
194.0,2021-10-29,Dilphire,0.001,0.001,0.001,0.0,1,Disaster
195.0,2021-10-29,Bekhudi,0.06,0.05,0.06,0.0,1,Disaster
196.0,2021-10-14,Venom: Let There Be Carnage,1460.0,6.87,3.71,340.0,820,
197.0,2021-09-30,No Time To Die,1100.0,3.91,19.2,1100.0,1850,
198.0,2021-09-17,Free Guy,,0.0,,,1,
199.0,2021-09-17,Don't Breathe 2,,0.0,,,1,
200.0,2021-09-10,Thalaivii,8.5,1.81,8.5,0.0,60,
201.0,2021-09-03,Faactory,0.01,0.01,0.01,0.0,1,Disaster
202.0,2021-09-03,Shang-Chi and the Legend of the Ten Rings,930.0,7.12,12.63,410.0,1150,
203.0,2021-08-27,Chehre,4.3,3.2,3.8,0.5,1,
204.0,2021-08-19,Bell Bottom,53.7,33.31,39.4,14.3,180,Flop
205.0,2021-05-13,Radhe,18.61,0.01,0.01,18.6,100,
206.0,2021-04-16,99 Songs,0.06,0.01,0.06,0.0,7,
207.0,2021-04-02,Koi Jaane Na,0.22,0.19,0.22,0.0,1,
208.0,2021-03-26,Ab Ye Galtiyan Na Ho,0.07,0.06,0.07,0.0,1,Disaster
209.0,2021-03-26,Hum Hum Hain,0.03,0.03,0.03,0.0,1,Disaster
210.0,2021-03-26,Saina,1.5,1.1,1.3,0.2,25,Disaster
211.0,2021-03-24,Godzilla vs. Kong,3800.0,7.2,59.0,2900.0,1300,
212.0,2021-03-19,Sandeep Aur Pinky Faraar,0.4,0.32,0.37,0.03,15,Disaster
213.0,2021-03-19,Mumbai Saga,22.0,16.5,19.2,2.8,40,Flop
214.0,2021-03-19,Ahaan,0.03,0.03,0.03,0.0,1,Disaster
215.0,2021-03-19,Mosagallu,1.65,0.04,1.5,0.15,51,
216.0,2021-03-12,Time To Dance,0.1,0.09,0.1,0.0,1,Disaster
217.0,2021-03-11,Mera Fauji Calling,0.52,0.46,0.52,0.0,1,Disaster
218.0,2021-03-11,Roohi,28.7,21.93,25.7,3.0,25,Average
219.0,2021-02-26,My Client's Wife,0.03,0.03,0.03,0.0,1,Disaster
220.0,2021-02-26,Ammaa Ki Boli,0.03,0.03,0.03,0.0,1,Disaster
221.0,2021-02-19,Chakra,18.8,0.59,18.3,0.5,35,Disaster
222.0,2021-02-19,Tuesdays And Fridays,0.29,0.22,0.26,0.03,1,Disaster
223.0,2021-02-19,Tom and Jerry,415.0,0.6,3.6,250.0,580,
224.0,2021-02-19,Tank Cleaner,0.03,0.03,0.03,0.0,1,Disaster
225.0,2021-02-12,Meera Mathur,0.05,0.04,0.05,0.0,2,Disaster
226.0,2021-02-12,Sakshi,0.06,0.05,0.06,0.0,1,Disaster
227.0,2021-02-05,Monster Hunter,93.0,0.2,4.2,76.0,1,Below Average
228.0,2021-01-29,Satya Sai Baba,0.05,0.04,0.05,0.0,3,Disaster
229.0,2021-01-29,Maassab,0.07,0.06,0.07,0.0,1,Disaster
230.0,2021-01-29,Cheer Haran,0.08,0.07,0.08,0.0,1,Disaster
231.0,2021-01-22,Madam Chief Minister,0.76,0.64,0.72,0.04,1,Disaster
232.0,2021-01-15,Bolo Hau,0.23,0.2,0.23,0.0,4,Disaster
233.0,2021-01-13,Master,223.0,2.65,178.75,44.25,135,Below Average
234.0,2021-01-08,12 'O' Clock,0.37,0.33,0.37,0.0,10,Flop
235.0,2021-01-07,Kaagaz,0.23,0.21,0.23,0.0,7,Disaster
236.0,2021-01-01,Ramprasad Ki Tehrvi,1.87,1.57,1.87,0.0,10,Below Average
237.0,2020-12-25,Shakeela,0.53,0.45,0.53,0.0,1,
238.0,2020-12-24,Wonder Woman 1984,640.0,0.7,13.0,515.0,1450,
239.0,2020-12-18,Sayonee,0.35,0.31,0.35,0.0,1,
240.0,2020-12-11,Indoo Ki Jawani,2.4,1.59,1.9,0.5,1,
241.0,2020-12-04,Tenet,2650.0,0.9,10.6,2220.0,1500,
242.0,2020-11-15,Suraj Pe Mangal Bhari,4.7,3.3,3.8,0.9,25,
243.0,2020-11-09,Laxmii,4.08,0.0,0.0,4.08,50,
244.0,2020-07-24,Dil Bechara,1.0,0.0,0.0,1.0,40,
245.0,2020-03-13,Angrezi Medium,15.0,10.21,12.0,3.0,1,
246.0,2020-03-06,Kaamyaab,2.0,1.6,1.9,0.1,7,
247.0,2020-03-06,Baaghi 3,137.0,96.5,114.0,23.0,100,Below Average
248.0,2020-02-28,Thappad,43.0,30.53,36.0,7.0,22,Average
249.0,2020-02-21,Bhoot Part One,39.5,31.1,36.5,3.0,50,Flop
250.0,2020-02-21,Shubh Mangal Zyada Saavdhan,83.0,62.05,73.0,10.0,35,Average
251.0,2020-02-14,Love Aaj Kal,56.9,40.06,46.9,10.0,60,Flop
252.0,2020-02-07,Hacked,0.3,0.2,0.25,0.05,1,
253.0,2020-02-07,Shikara,11.5,8.25,10.0,1.5,25,Flop
254.0,2020-02-07,Malang,80.0,59.84,70.0,10.0,50,Above Average
255.0,2020-01-31,Happy Hardy and Heer,0.9,0.76,0.9,0.0,10,Disaster
256.0,2020-01-31,Jawaani Jaaneman,42.0,27.15,32.5,9.5,40,
257.0,2020-01-24,Panga,40.0,27.34,32.0,8.0,49,Flop
258.0,2020-01-24,Street Dancer 3D,102.0,73.97,87.0,15.0,100,Below Average
259.0,2020-01-17,Dolittle,450.0,0.55,7.5,203.0,1230,
260.0,2020-01-17,Jai Mummy Di,3.0,2.25,2.6,0.4,20,
261.0,2020-01-10,Chhapaak,55.5,34.93,40.5,15.0,50,Flop
262.0,2020-01-10,Tanhaji: The Unsung Warrior,361.0,277.75,325.0,36.0,150,Blockbuster
263.0,2020-01-09,Darbar,247.8,3.72,173.8,74.0,200,Flop
264.0,2020-01-03,Acid (Astounding Courage In Distress),0.14,0.12,0.14,0.0,1,
265.0,2020-01-03,Sab Kushal Mangal,1.4,1.15,1.35,0.05,15,
266.0,2020-01-03,Shimla Mirchi,0.34,0.3,0.34,0.0,10,
267.0,2020-01-03,Bhangra Paa Le,2.9,2.5,2.8,0.1,8,
268.0,2020-01-03,English Ki Taay Taay Fisss,0.05,0.04,0.05,0.0,5,
269.0,2019-12-27,Good Newwz,316.0,205.09,242.0,74.0,60,Blockbuster
270.0,2019-12-20,Dabangg 3,218.0,146.23,178.0,40.0,90,Above Average
271.0,2019-12-13,The Body,3.4,2.65,3.1,0.3,30,Disaster
272.0,2019-12-13,Mardaani 2,67.0,47.35,57.0,10.0,30,Hit
273.0,2019-12-12,Mamangam,57.4,0.2,37.4,20.0,55,Above Average
274.0,2019-12-06,Panipat,49.0,33.87,40.0,9.0,80,Disaster
275.0,2019-12-06,Pati Patni Aur Woh,109.0,84.56,99.0,10.0,40,Hit
276.0,2019-11-29,Commando 3,9.8,32.04,7.8,2.0,40,Above Average
277.0,2019-11-22,Pagalpanti,51.0,41.2,47.0,4.0,60,Flop
278.0,2019-11-15,Motichoor Chaknachoor,2.4,1.8,2.15,0.25,20,Disaster
279.0,2019-11-15,Marjaavaan,62.0,48.04,55.5,6.5,50,Average
280.0,2019-11-08,Satellite Shankar,1.0,0.65,0.8,0.2,30,Disaster
281.0,2019-11-08,Bypass Road,1.5,1.0,1.2,0.3,20,Disaster
282.0,2019-11-08,Bala,162.0,116.38,135.0,27.0,35,SuperHit
283.0,2019-11-01,Ujda Chaman,16.7,12.86,15.2,1.5,20,Flop
284.0,2019-10-25,Saand Ki Aankh,31.0,23.67,28.0,3.0,20,Above Average
285.0,2019-10-25,Made In China,16.2,12.3,14.5,1.7,25,Flop
286.0,2019-10-25,Housefull 4,296.0,210.3,247.0,49.0,175,SuperHit
287.0,2019-10-18,Laal Kaptaan,4.5,3.19,3.8,0.7,40,Disaster
288.0,2019-10-11,The Sky Is Pink,28.5,20.2,23.5,5.0,24,Flop
289.0,2019-10-02,Sye Raa Narasimha Reddy,246.6,11.03,216.6,30.0,275,Disaster
290.0,2019-10-02,War,471.0,303.34,375.0,96.0,150,Blockbuster
291.0,2019-09-20,Pal Pal Dil Ke Paas,12.5,9.0,10.5,2.0,30,Disaster
292.0,2019-09-20,The Zoya Factor,8.3,4.8,6.8,1.5,30,Disaster
293.0,2019-09-20,Prassthanam,10.2,6.8,8.2,2.0,40,Disaster
294.0,2019-09-13,Section 375,22.0,17.0,20.0,2.0,20,Below Average
295.0,2019-09-13,Dream Girl,195.0,141.3,163.0,32.0,30,SuperHit
296.0,2019-09-12,Pailwaan,52.45,2.39,48.45,4.0,40,Disaster
297.0,2019-09-06,Chhichhore,211.0,153.16,180.0,31.0,70,Blockbuster
298.0,2019-08-30,Saaho,451.0,145.67,359.0,92.0,350,Hit
299.0,2019-08-15,Batla House,127.0,99.24,116.0,11.0,50,Hit
300.0,2019-08-15,Mission Mangal,290.0,203.08,236.0,54.0,40,Blockbuster
301.0,2019-08-09,Jabariya Jodi,25.24,18.85,22.24,3.0,30,Flop
302.0,2019-07-26,Arjun Patiala,12.3,8.65,10.3,2.0,25,Disaster
303.0,2019-07-26,Judgementall Hai Kya,49.5,34.45,41.1,8.4,35,Average
304.0,2019-07-19,Jhootha Kahin Ka,0.6,0.5,0.6,0.0,15,Disaster
305.0,2019-07-12,Super 30,210.0,147.39,171.0,39.0,60,SuperHit
306.0,2019-07-05,Malaal,3.3,2.8,3.3,0.0,10,Disaster
307.0,2019-06-28,Article 15,94.0,66.0,79.0,15.0,25,SuperHit
308.0,2019-06-21,Kabir Singh,377.0,278.8,330.0,47.0,55,All Time Blockbuster
309.0,2019-06-14,Game Over,16.0,4.87,14.7,1.3,20,Below Average
310.0,2019-06-05,Bharat,321.0,212.03,251.0,70.0,165,Hit
311.0,2019-05-24,PM Narendra Modi,35.2,28.51,33.7,1.5,20,Above Average
312.0,2019-05-24,India's Most Wanted,18.0,13.2,15.5,2.5,30,Disaster
313.0,2019-05-17,De De Pyaar De,143.9,104.13,122.9,21.0,75,Hit
314.0,2019-05-10,Student Of The Year 2,95.5,70.86,84.5,11.0,75,Below Average
315.0,2019-05-03,Setters,1.62,1.35,1.62,0.0,15,Disaster
316.0,2019-05-03,Blank,8.6,6.45,7.6,1.0,30,Disaster
317.0,2019-04-26,Avengers End Game,18970.0,116.47,445.0,13335.0,2500,SuperHit
318.0,2019-04-17,Kalank,146.8,84.6,99.8,47.0,150,Flop
319.0,2019-04-12,The Tashkent Files,20.0,16.41,19.4,0.6,8,SuperHit
320.0,2019-04-05,Romeo Akbar Walter,58.0,42.85,50.5,7.5,35,Above Average
321.0,2019-03-29,Notebook,6.6,4.97,6.0,0.6,20,Flop
322.0,2019-03-29,Junglee,32.7,24.76,29.2,3.5,50,Flop
323.0,2019-03-21,Mard Ko Dard Nahi Hota,3.5,2.55,3.0,0.5,21,Disaster
324.0,2019-03-21,Kesari,208.8,155.7,183.8,25.0,100,Hit
325.0,2019-03-15,Photograph,2.03,1.45,1.82,0.21,19,Disaster
326.0,2019-03-08,Badla,140.47,88.53,104.47,36.0,20,SuperHit
327.0,2019-03-01,Sonchiriya,8.5,6.66,7.8,0.7,30,Disaster
328.0,2019-03-01,Luka Chuppi,128.0,94.09,111.0,17.0,20,SuperHit
329.0,2019-02-22,Total Dhamaal,232.18,155.67,183.68,48.5,105,SuperHit
330.0,2019-02-14,Gully Boy,235.7,139.63,164.7,71.0,60,SuperHit
331.0,2019-02-01,Ek Ladki Ko Dekha Toh Aisa Laga,44.0,22.45,26.0,18.0,50,Flop
332.0,2019-01-25,Thackeray,50.3,23.12,46.3,4.0,40,Above Average
333.0,2019-01-25,Manikarnika: The Queen of Jhansi,142.0,94.37,116.6,25.4,101,Average
334.0,2019-01-18,Why Cheat India,14.5,10.92,13.0,1.5,25,Disaster
335.0,2019-01-11,The Accidental Prime Minister,26.5,20.22,24.0,2.5,25,Flop
336.0,2019-01-11,URI The Surgical Strike,341.75,244.14,293.75,48.0,70,All Time Blockbuster
337.0,2019-01-10,Petta,232.92,1.92,158.92,74.0,160,Flop
